"subject","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()"
1,-0.453632943768818,-0.453632943768818,-0.545431612066571,-0.475404785802305,-0.639517432642651,-0.497096402038329,-0.497096402038329,-0.515922167555159,-0.499839593745821,-0.652050770910663
2,-0.535281800541722,-0.535281800541722,-0.58777744543543,-0.614771054893146,-0.746559539039735,-0.552812545643709,-0.552812545643709,-0.512115278415232,-0.680584887880795,-0.740088733655629
3,-0.563140802770059,-0.563140802770059,-0.650182434328446,-0.643150121648094,-0.784056656246334,-0.591224780306452,-0.591224780306452,-0.607658214170381,-0.674010290979472,-0.80366136372434
4,-0.56158213510694,-0.56158213510694,-0.656116311856877,-0.656291093847319,-0.819191368044164,-0.606556049548896,-0.606556049548896,-0.647249966810726,-0.706738493542587,-0.844187064164038
5,-0.460866415568709,-0.460866415568709,-0.589313870006622,-0.602770284825828,-0.707383517582782,-0.52162345171192,-0.52162345171192,-0.589031268133113,-0.664078383532781,-0.734187493344371
6,-0.464770006998123,-0.464770006998123,-0.551413652396923,-0.549494852037046,-0.621936158532308,-0.483790606354154,-0.483790606354154,-0.502935062310769,-0.579837818063692,-0.644474485460492
7,-0.511312036747403,-0.511312036747403,-0.622815767680292,-0.581899897967532,-0.713191348337662,-0.510669879158539,-0.510669879158539,-0.550560230585714,-0.598670795839286,-0.658017844948377
8,-0.468522592843416,-0.468522592843416,-0.534248616612028,-0.476214943826192,-0.673625525658363,-0.554038979266192,-0.554038979266192,-0.564471999961566,-0.581422885341281,-0.715838385516014
9,-0.505183470509188,-0.505183470509188,-0.621608245092361,-0.550201866572569,-0.7629795809375,-0.553038255314792,-0.553038255314792,-0.608862145384722,-0.663198385034722,-0.786176892048611
10,-0.502500207000204,-0.502500207000204,-0.57776193128833,-0.521819802352381,-0.734465805340136,-0.545348810631551,-0.545348810631551,-0.529340480130272,-0.624408369413333,-0.768821828979592
11,-0.542825032813608,-0.542825032813608,-0.679819504547468,-0.628367851066456,-0.826829028481013,-0.612882270912658,-0.612882270912658,-0.664241760370253,-0.696771378957911,-0.866905012626582
12,-0.559586545675313,-0.559586545675313,-0.6300504918575,-0.63166805889875,-0.77729447821875,-0.5743864944925,-0.5743864944925,-0.566365683597188,-0.68485805678325,-0.7863865328125
13,-0.539871637249541,-0.539871637249541,-0.625466938809174,-0.581215403184709,-0.712745036012232,-0.597230982062691,-0.597230982062691,-0.610248540269939,-0.636364939544342,-0.712056186747706
14,-0.453262620331889,-0.453262620331889,-0.608973420309907,-0.416459776709257,-0.700520939854799,-0.474058613408978,-0.474058613408978,-0.605144269857245,-0.471486714606811,-0.727023009383901
15,-0.527285352000488,-0.527285352000488,-0.654799694757531,-0.617721779796037,-0.805282669512195,-0.557147874176037,-0.557147874176037,-0.625660376546646,-0.675336960047866,-0.837120078079268
16,-0.616131116889044,-0.616131116889044,-0.725246870486339,-0.718168775628415,-0.860446372459016,-0.661719690491803,-0.661719690491803,-0.719647028238525,-0.78482286579235,-0.87480016568306
17,-0.568367244093859,-0.568367244093859,-0.696465197235054,-0.676185123284103,-0.810438232853261,-0.636074477703533,-0.636074477703533,-0.693946394750815,-0.750145260967391,-0.825255969701087
18,-0.658370952115385,-0.658370952115385,-0.753904676895604,-0.714735668626374,-0.859899942335165,-0.689671890376374,-0.689671890376374,-0.745212812708791,-0.775779058758242,-0.88856533728022
19,-0.531507362111361,-0.531507362111361,-0.5762252472125,-0.548919668132222,-0.683436541824444,-0.599552767486306,-0.599552767486306,-0.601918552871944,-0.610093380740278,-0.7255986988425
20,-0.517257429345412,-0.517257429345412,-0.619698756735028,-0.516861235888701,-0.684048497355932,-0.572325820319209,-0.572325820319209,-0.588644307467599,-0.580023613494576,-0.683503744537853
21,-0.620309259553676,-0.620309259553676,-0.703461275879657,-0.693779224517157,-0.807817403137255,-0.6601960145,-0.6601960145,-0.680069218953922,-0.761303119652451,-0.82408989995098
22,-0.504099198287601,-0.504099198287601,-0.609772829890966,-0.637666108456075,-0.794681311214953,-0.595953853592586,-0.595953853592586,-0.589823140414673,-0.67637856158162,-0.82649344800623
23,-0.532754757205108,-0.532754757205108,-0.58640067170914,-0.544207964433387,-0.623412641977151,-0.56557562579215,-0.56557562579215,-0.55872531418629,-0.541949073660753,-0.573942888021613
24,-0.620032665162467,-0.620032665162467,-0.713667423769029,-0.682447212750656,-0.791646550787402,-0.650862147810236,-0.650862147810236,-0.689391189346457,-0.742983126606299,-0.788997850813648
25,-0.583377749713936,-0.583377749713936,-0.783445354474328,-0.625733064258924,-0.849630706259169,-0.659015505611247,-0.659015505611247,-0.780451867848411,-0.68515279467066,-0.872776184449878
26,-0.600932264175765,-0.600932264175765,-0.694917859209184,-0.694597662936224,-0.798325916709184,-0.620355788665816,-0.620355788665816,-0.677426336392347,-0.751833690215051,-0.818279112908163
27,-0.627947737417819,-0.627947737417819,-0.70180744799867,-0.694016019806117,-0.823067662473404,-0.677874152031915,-0.677874152031915,-0.696003354282979,-0.754713306440957,-0.837212879564096
28,-0.610030902501309,-0.610030902501309,-0.689429387759162,-0.648538641430367,-0.78929494326178,-0.635821226515969,-0.635821226515969,-0.687703433627487,-0.710956808836911,-0.805738383010471
29,-0.553585593347965,-0.553585593347965,-0.664538060484884,-0.602228993700349,-0.802293906366279,-0.579067216088081,-0.579067216088081,-0.620472049862791,-0.653732301592151,-0.840156364186047
30,-0.538131194183003,-0.538131194183003,-0.697050126998956,-0.510032754098198,-0.785870931331593,-0.588158111633681,-0.588158111633681,-0.658972148093473,-0.573779428671018,-0.810398514673629
